Name,Published Date,Original Price,Discount Price,Reviews
R.E.P.O.,"Feb 26, 2025",N/A,$9.99,48201
Assassin’s Creed Shadows,"Mar 19, 2025",N/A,$69.99,8416
Counter-Strike 2,"Aug 21, 2012",N/A,Free,668047
Steam Deck,"Jan 17, 2025",N/A,$399.00,N/A
Monster Hunter Wilds,"Feb 27, 2025",N/A,$69.99,110225
Split Fiction,"Mar 6, 2025",N/A,$49.99,34681
HELLDIVERS™ 2,"Feb 8, 2024",N/A,$39.99,719252
Cyberpunk 2077,"Dec 9, 2020",$59.99,$23.99,732865
Warframe,"Mar 25, 2013",N/A,Free,612616
Marvel Rivals,"Dec 5, 2024",N/A,Free,250862
FragPunk,"Mar 6, 2025",N/A,Free,28564
Tom Clancy's Rainbow Six® Siege,"Dec 1, 2015",N/A,$19.99,173321
THRONE AND LIBERTY,"Oct 1, 2024",N/A,Free,61459
War Thunder,"Aug 15, 2013",N/A,Free,606372
The Sims™ 4,"Jan 31, 2025",N/A,Free,165422
The First Berserker: Khazan,"Mar 27, 2025",N/A,$59.99,N/A
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,"Jun 13, 2024",$49.99,$29.99,6133
Wreckfest 2,"Mar 20, 2025",$29.99,$23.99,1508
Kingdom Come: Deliverance II,"Feb 4, 2025",N/A,$59.99,64530
NBA 2K25,"Oct 28, 2024",$79.99,$23.99,16574
MapleStory,"Aug 9, 2012",N/A,Free,13571
Destiny 2,"Oct 1, 2019",N/A,Free,621885
Baldur's Gate 3,"Aug 3, 2023",N/A,$59.99,651371
PGA TOUR 2K25,"Feb 27, 2025",N/A,$69.99,1220
Apex Legends™,"Nov 4, 2020",N/A,Free,984629
Cyberpunk 2077: Phantom Liberty,"Sep 25, 2023",$29.99,$22.49,17983
Atomfall,"Mar 27, 2025",N/A,$49.99,N/A
FINAL FANTASY XVI,"Sep 17, 2024",$49.99,$32.49,14683
EA SPORTS FC™ 25,"Sep 26, 2024",N/A,$42.00,55994
FINAL FANTASY VII REBIRTH,"Jan 23, 2025",$69.99,$48.99,12048
THE FINALS,"Dec 7, 2023",N/A,Free,223041
Dead by Daylight,"Jun 14, 2016",N/A,$19.99,570564
BLEACH Rebirth of Souls,"Mar 20, 2025",N/A,$59.99,2589
Arma Reforger,"Nov 16, 2023",N/A,$35.98,23398
Rust,"Feb 8, 2018",N/A,$39.99,998522
FINAL FANTASY VII REMAKE INTERGRADE,"Jun 17, 2022",N/A,$39.99,30305
ELDEN RING,"Feb 24, 2022",N/A,$59.99,753048
Satisfactory,"Sep 10, 2024",$39.99,$27.99,190687
Sid Meier's Civilization VII,"Feb 10, 2025",N/A,$69.99,28597
Overwatch® 2,"Aug 10, 2023",N/A,Free,334676
Grand Theft Auto V Enhanced,"Mar 4, 2025",N/A,$29.99,29401
FINAL FANTASY XIV Online,"Feb 18, 2014",N/A,$19.99,72680
Phasmophobia,"Sep 18, 2020",N/A,$19.99,618765
Cities: Skylines,"Mar 10, 2015",$29.99,$2.99,203151
Marvel's Spider-Man 2,"Jan 30, 2025",N/A,$59.99,11858
Call of Duty®: Black Ops 6,"Oct 24, 2024",N/A,$69.99,11103
Call of Duty®: Warzone™,"Nov 16, 2022",N/A,Free,42547
Ready or Not,"Dec 13, 2023",N/A,$49.99,178592
PowerWash Simulator,"Jul 14, 2022",$24.99,$17.49,44564
Fallout 76,"Apr 14, 2020",N/A,$39.99,65265
